Entity ID,Plant ID,Sector,Nameplate Capacity (MW),Net Summer Capacity (MW),Net Winter Capacity (MW),Technology,Operating Month,Operating Year,Planned Retirement Month,Planned Retirement Year,Status,Latitude,Longitude
63560,1,Electric Utility,0.9,0.4,0.4,Petroleum Liquids,12,2000, , ,SB,55.339722,-160.4972
63560,1,Electric Utility,0.9,0.3,0.3,Petroleum Liquids,12,2000, , ,OP,55.339722,-160.4972
63560,1,Electric Utility,0.5,0.3,0.3,Petroleum Liquids,12,2010, , ,OP,55.339722,-160.4972
63560,1,Electric Utility,0.4,0.3,0.3,Petroleum Liquids,2,2023, , ,OP,55.339722,-160.4972
63560,1,Electric Utility,0.5,0.1,0.1,Onshore Wind Turbine,10,2011, , ,OS,55.339722,-160.4972
63560,1,Electric Utility,0.5,0.3,0.3,Onshore Wind Turbine,10,2011, , ,OS,55.339722,-160.4972
195,2,Electric Utility,53.9,53,53,Conventional Hydroelectric,7,1963, , ,OP,33.458665,-87.35682
195,3,Electric Utility,153.1,80,80,Natural Gas Steam Turbine,2,1954, , ,OP,31.0069,-88.0103
195,3,Electric Utility,153.1,80,80,Natural Gas Steam Turbine,7,1954, , ,OP,31.0069,-88.0103
195,3,Electric Utility,403.7,362,362,Conventional Steam Coal,12,1969, , ,OP,31.0069,-88.0103
195,3,Electric Utility,788.8,756.5,756.5,Conventional Steam Coal,10,1971, , ,OP,31.0069,-88.0103
195,3,Electric Utility,170.1,184.4,194.5,Natural Gas Fired Combined Cycle,5,2000, , ,OP,31.0069,-88.0103
195,3,Electric Utility,170.1,184.4,194.5,Natural Gas Fired Combined Cycle,5,2000, , ,OP,31.0069,-88.0103
195,3,Electric Utility,195.2,200,205,Natural Gas Fired Combined Cycle,5,2000, , ,OP,31.0069,-88.0103
195,3,Electric Utility,170.1,186.2,190,Natural Gas Fired Combined Cycle,5,2000, , ,OP,31.0069,-88.0103
195,3,Electric Utility,170.1,186.2,190,Natural Gas Fired Combined Cycle,5,2000, , ,OP,31.0069,-88.0103
195,3,Electric Utility,195.2,195,200,Natural Gas Fired Combined Cycle,5,2000, , ,OP,31.0069,-88.0103
195,3,Electric Utility,464,385,443,Natural Gas Fired Combined Cycle,11,2023, , ,OP,31.0069,-88.0103
195,3,Electric Utility,310,300,300,Natural Gas Fired Combined Cycle,11,2023, , ,OP,31.0069,-88.0103
