Entity ID,Plant ID,Sector,Nameplate Capacity (MW),Net Summer Capacity (MW),Net Winter Capacity (MW),Technology,Operating Month,Operating Year,Planned Retirement Month,Planned Retirement Year,Status,Latitude,Longitude
63560,1,IPP Non-CHP,0.9,0.4,0.4,Petroleum Liquids,12,2000, , ,SB,55.339722,-160.497200
63560,1,IPP Non-CHP,0.9,0.3,0.3,Petroleum Liquids,12,2000, , ,OP,55.339722,-160.497200
63560,1,IPP Non-CHP,0.5,0.3,0.3,Petroleum Liquids,12,2010, , ,OA,55.339722,-160.497200
63560,1,IPP Non-CHP,0.7,0.4,0.3,Petroleum Liquids,12,2000, , ,OA,55.339722,-160.497200
63560,1,IPP Non-CHP,0.5,0.1,0.1,Onshore Wind Turbine,10,2011, , ,OA,55.339722,-160.497200
63560,1,IPP Non-CHP,0.5,0.3,0.3,Onshore Wind Turbine,10,2011, , ,OP,55.339722,-160.497200
195,2,Electric Utility,53.9,53.0,53.0,Conventional Hydroelectric,7,1963, , ,OP,33.458665,-87.356820
195,3,Electric Utility,153.1,80.0,80.0,Natural Gas Steam Turbine,2,1954, , ,OP,31.006900,-88.010300
195,3,Electric Utility,153.1,80.0,80.0,Natural Gas Steam Turbine,7,1954, , ,OP,31.006900,-88.010300
195,3,Electric Utility,403.7,362.0,362.0,Conventional Steam Coal,12,1969, , ,OP,31.006900,-88.010300
195,3,Electric Utility,788.8,756.5,756.5,Conventional Steam Coal,10,1971, , ,OP,31.006900,-88.010300
195,3,Electric Utility,170.1,175.6,184.5,Natural Gas Fired Combined Cycle,5,2000, , ,OP,31.006900,-88.010300
195,3,Electric Utility,170.1,175.6,184.5,Natural Gas Fired Combined Cycle,5,2000, , ,OP,31.006900,-88.010300
195,3,Electric Utility,195.2,200.0,200.0,Natural Gas Fired Combined Cycle,5,2000, , ,OP,31.006900,-88.010300
195,3,Electric Utility,170.1,178.6,185.8,Natural Gas Fired Combined Cycle,5,2000, , ,OP,31.006900,-88.010300
195,3,Electric Utility,170.1,178.6,185.8,Natural Gas Fired Combined Cycle,5,2000, , ,OP,31.006900,-88.010300
195,3,Electric Utility,195.2,200.0,200.0,Natural Gas Fired Combined Cycle,5,2000, , ,OP,31.006900,-88.010300
195,4,Electric Utility,75.0,74.7,74.7,Conventional Hydroelectric,7,1967, , ,OP,32.583889,-86.283060
195,4,Electric Utility,75.0,74.7,74.7,Conventional Hydroelectric,8,1967, , ,OP,32.583889,-86.283060
195,4,Electric Utility,75.0,74.7,74.7,Conventional Hydroelectric,8,1967, , ,OP,32.583889,-86.283060
195,7,Electric Utility,69.0,64.0,64.0,Natural Gas Steam Turbine,4,1949, , ,OP,34.012800,-85.970800
195,7,Electric Utility,69.0,66.0,66.0,Natural Gas Steam Turbine,7,1949, , ,OP,34.012800,-85.970800
5701,9,Electric Utility,86.9,63.0,65.0,Natural Gas Fired Combustion Turbine,7,1980,12,2030,OP,31.756900,-106.375000
195,10,Electric Utility,299.2,257.8,257.8,Natural Gas Steam Turbine,6,1965, , ,OP,32.601700,-87.781100
195,10,Electric Utility,269.2,258.3,258.3,Natural Gas Steam Turbine,7,1966, , ,OP,32.601700,-87.781100
195,10,Electric Utility,80.0,85.0,101.0,Natural Gas Fired Combustion Turbine,5,1996, , ,OP,32.601700,-87.781100
195,10,Electric Utility,80.0,84.0,100.0,Natural Gas Fired Combustion Turbine,5,1996, , ,OP,32.601700,-87.781100
195,10,Electric Utility,80.0,82.0,98.0,Natural Gas Fired Combustion Turbine,5,1995, , ,OP,32.601700,-87.781100
195,10,Electric Utility,80.0,81.0,97.0,Natural Gas Fired Combustion Turbine,5,1995, , ,OP,32.601700,-87.781100
195,10,Electric Utility,80.0,82.0,98.0,Natural Gas Fired Combustion Turbine,5,1995, , ,OP,32.601700,-87.781100
195,10,Electric Utility,80.0,81.0,97.0,Natural Gas Fired Combustion Turbine,5,1995, , ,OP,32.601700,-87.781100
195,10,Electric Utility,80.0,80.0,96.0,Natural Gas Fired Combustion Turbine,5,1995, , ,OP,32.601700,-87.781100
195,10,Electric Utility,80.0,83.0,99.0,Natural Gas Fired Combustion Turbine,5,1996, , ,OP,32.601700,-87.781100
195,10,Electric Utility,80.0,82.0,98.0,Natural Gas Fired Combustion Turbine,5,1996, , ,OP,32.601700,-87.781100
195,11,Electric Utility,24.3,23.7,22.7,Conventional Hydroelectric,6,1966, , ,OP,33.784500,-86.052400
195,11,Electric Utility,24.3,23.7,22.7,Conventional Hydroelectric,6,1966, , ,OP,33.784500,-86.052400
195,11,Electric Utility,24.3,23.7,22.7,Conventional Hydroelectric,6,1966, , ,OP,33.784500,-86.052400
195,12,Electric Utility,46.9,48.0,48.0,Conventional Hydroelectric,8,1968, , ,OP,33.255300,-87.449500
195,13,Electric Utility,25.0,32.3,32.5,Conventional Hydroelectric,1,1929, , ,OP,32.618900,-86.254800
195,13,Electric Utility,25.0,32.3,32.5,Conventional Hydroelectric,1,1929, , ,OP,32.618900,-86.254800
195,13,Electric Utility,25.0,32.3,32.5,Conventional Hydroelectric,1,1929, , ,OP,32.618900,-86.254800
195,13,Electric Utility,25.0,32.3,32.5,Conventional Hydroelectric,1,1929, , ,OP,32.618900,-86.254800
195,14,Electric Utility,42.7,43.0,39.7,Conventional Hydroelectric,8,1964, , ,OP,33.425878,-86.337550
195,14,Electric Utility,42.7,43.0,39.7,Conventional Hydroelectric,8,1964, , ,OP,33.425878,-86.337550
195,14,Electric Utility,42.7,43.0,39.7,Conventional Hydroelectric,8,1964, , ,OP,33.425878,-86.337550
195,15,Electric Utility,29.5,30.0,30.3,Conventional Hydroelectric,4,1968, , ,OP,32.963300,-86.518700
195,15,Electric Utility,29.5,30.0,30.3,Conventional Hydroelectric,4,1968, , ,OP,32.963300,-86.518700
195,15,Electric Utility,29.5,30.0,30.3,Conventional Hydroelectric,12,1967, , ,OP,32.963300,-86.518700
195,15,Electric Utility,29.5,30.0,30.3,Conventional Hydroelectric,10,1967, , ,OP,32.963300,-86.518700
195,15,Electric Utility,29.5,30.0,30.3,Conventional Hydroelectric,5,1967, , ,OP,32.963300,-86.518700
195,15,Electric Utility,29.5,30.0,30.3,Conventional Hydroelectric,2,1967, , ,OP,32.963300,-86.518700
195,16,Electric Utility,50.2,41.5,39.4,Conventional Hydroelectric,1,1927, , ,OP,32.680394,-85.911440
195,16,Electric Utility,50.2,41.5,39.4,Conventional Hydroelectric,1,1927, , ,OP,32.680394,-85.911440
195,16,Electric Utility,50.2,41.5,39.4,Conventional Hydroelectric,1,1927, , ,OP,32.680394,-85.911440
195,16,Electric Utility,60.0,57.6,54.7,Conventional Hydroelectric,7,1952, , ,OP,32.680394,-85.911440
195,17,Electric Utility,20.0,22.4,22.7,Conventional Hydroelectric,11,1949, , ,OP,32.806025,-86.444890
195,17,Electric Utility,50.0,46.9,47.4,Conventional Hydroelectric,4,1985, , ,OP,32.806025,-86.444890
195,17,Electric Utility,50.0,46.9,47.4,Conventional Hydroelectric,4,1985, , ,OP,32.806025,-86.444890
195,17,Electric Utility,50.0,46.9,47.4,Conventional Hydroelectric,4,1985, , ,OP,32.806025,-86.444890
195,18,Electric Utility,90.5,89.0,87.5,Conventional Hydroelectric,9,1961, , ,OP,33.940600,-87.107700
195,18,Electric Utility,90.5,89.0,87.5,Conventional Hydroelectric,7,1962, , ,OP,33.940600,-87.107700
195,19,Electric Utility,40.5,36.2,35.3,Conventional Hydroelectric,1,1931, , ,OP,32.535436,-85.887610
195,19,Electric Utility,40.5,36.2,35.3,Conventional Hydroelectric,1,1931, , ,OP,32.535436,-85.887610
195,19,Electric Utility,10.0,7.5,7.3,Conventional Hydroelectric,1,1931, , ,OP,32.535436,-85.887610
195,20,Electric Utility,29.2,27.0,24.3,Conventional Hydroelectric,7,1962, , ,OP,34.172142,-85.753810
195,20,Electric Utility,29.2,27.0,24.3,Conventional Hydroelectric,6,1961, , ,OP,34.172142,-85.753810
195,20,Electric Utility,29.2,27.0,24.3,Conventional Hydroelectric,6,1961, , ,OP,34.172142,-85.753810
195,21,Electric Utility,25.5,22.0,22.5,Conventional Hydroelectric,7,1928, , ,OP,32.574300,-85.890100
195,21,Electric Utility,25.0,22.0,22.5,Conventional Hydroelectric,7,1928, , ,OP,32.574300,-85.890100
195,26,Electric Utility,272.0,254.0,254.0,Natural Gas Steam Turbine,5,1960, , ,OP,33.244211,-86.458060
195,26,Electric Utility,272.0,256.0,256.0,Natural Gas Steam Turbine,7,1960, , ,OP,33.244211,-86.458060
195,26,Electric Utility,272.0,254.0,254.0,Natural Gas Steam Turbine,6,1961, , ,OP,33.244211,-86.458060
195,26,Electric Utility,952.0,832.0,832.0,Conventional Steam Coal,8,1974, , ,OP,33.244211,-86.458060
195,26,Electric Utility,21.2,16.0,20.0,Petroleum Liquids,6,1970, , ,OP,33.244211,-86.458060
195,26,Electric Utility,244.8,256.0,256.0,Natural Gas Steam Turbine,6,1962, , ,OP,33.244211,-86.458060
29305,30,Electric Utility,3.1,3.1,3.1,Natural Gas Internal Combustion Engine,5,2001, , ,OP,44.050100,-94.417800
29305,30,Electric Utility,2.0,1.8,2.0,Natural Gas Internal Combustion Engine,6,1965, , ,OP,44.050100,-94.417800
29305,30,Electric Utility,1.1,0.9,1.0,Natural Gas Internal Combustion Engine,1,1959, , ,OP,44.050100,-94.417800
29305,30,Electric Utility,4.3,3.7,4.0,Natural Gas Internal Combustion Engine,6,1973, , ,OP,44.050100,-94.417800
29305,30,Electric Utility,1.3,1.1,1.2,Natural Gas Internal Combustion Engine,3,1954, , ,OP,44.050100,-94.417800
13402,34,IPP Non-CHP,12.1,12.1,12.1,Conventional Hydroelectric,8,1980, , ,OP,39.134259,-120.953300
27813,38,Electric Utility,33.7,30.0,30.0,Conventional Hydroelectric,4,1970, , ,OP,32.100881,-87.399770
27813,38,Electric Utility,33.7,30.0,30.0,Conventional Hydroelectric,4,1970, , ,OP,32.100881,-87.399770
27813,38,Electric Utility,33.7,30.0,30.0,Conventional Hydroelectric,5,1970, , ,OP,32.100881,-87.399770
