Entity ID,Plant ID,Sector,Nameplate Capacity (MW),Net Summer Capacity (MW),Net Winter Capacity (MW),Technology,Planned Operation Month,Planned Operation Year,Status,Latitude,Longitude
63873,64291,Commercial Non-CHP,1,1,1,Petroleum Liquids,12,2025,U,40.816971,-73.92411
66513,67957,IPP Non-CHP,80,80,80,Solar Photovoltaic,12,2025,TS,31.020358,-87.35839
807,201,Electric Utility,71.2,46.5,46.5,Natural Gas Fired Combustion Turbine,1,2026,V,35.462382,-93.80493
807,201,Electric Utility,69.3,46.5,46.5,Natural Gas Fired Combustion Turbine,1,2026,V,35.462382,-93.80493
66777,63342,IPP Non-CHP,162.1,162.1,162.1,Onshore Wind Turbine,1,2026,TS,31.754037,-101.6752
61222,63798,IPP Non-CHP,300,300,300,Solar Photovoltaic,1,2026,V,33.94345,-113.7917
61222,63798,IPP Non-CHP,300,300,300,Batteries,1,2026,V,33.94345,-113.7917
63527,63850,IPP Non-CHP,40,40,40,Batteries,1,2026,U,36.122457,-119.9232
57313,64098,Industrial Non-CHP,1,1,1,Solar Photovoltaic,1,2026,TS,39.539511,-119.4392
63726,64132,IPP Non-CHP,200,200,200,Solar Photovoltaic,1,2026,V,32.212257,-94.73632
67192,64202,IPP Non-CHP,80,80,80,Batteries,1,2026,TS,29.894053,-97.27054
63965,64342,IPP Non-CHP,250,250,250,Onshore Wind Turbine,1,2026,V,46.21691,-99.59834
61944,64536,IPP Non-CHP,135,135,135,Solar Photovoltaic,1,2026,TS,40.010442,-88.05794
64266,64672,IPP Non-CHP,210,210,210,Solar Photovoltaic,1,2026,TS,30.705329,-96.06983
64370,64859,IPP Non-CHP,160,160,160,Batteries,1,2026,TS,31.5481,-99.1872
64433,65006,IPP Non-CHP,1,1,1,Solar Photovoltaic,1,2026,TS,44.41552,-93.15442
57313,65070,Industrial Non-CHP,2.3,2.3,2.3,Solar Photovoltaic,1,2026,TS,30.22021,-97.61968
67192,65513,IPP Non-CHP,113.2,113.2,113.2,Onshore Wind Turbine,1,2026,V,42.43988,-77.52982
4254,65572,Electric Utility,250,250,250,Solar Photovoltaic,1,2026,U,43.232797,-85.99345
6452,65885,Electric Utility,74.5,74.5,74.5,Solar Photovoltaic,1,2026,V,26.483507,-81.46766
6452,65887,Electric Utility,74.5,74.5,74.5,Solar Photovoltaic,1,2026,V,30.160723,-82.55836
6452,65905,Electric Utility,74.5,74.5,74.5,Solar Photovoltaic,1,2026,V,27.30365,-81.76741
65112,65940,Commercial Non-CHP,1.5,1.3,1.1,Solar Photovoltaic,1,2026,TS,40.62524,-122.314
65112,65940,Commercial Non-CHP,0.5,0.5,0.5,Batteries,1,2026,TS,40.62524,-122.314
66064,66400,IPP Non-CHP,100,100,100,Batteries,1,2026,TS,29.271,-98.456
11241,66681,Electric Utility,49,49,49,Solar Photovoltaic,1,2026,V,32.6926,-92.06645
50123,66775,IPP Non-CHP,200,200,200,Solar Photovoltaic,1,2026,TS,28.947973,-99.06719
62842,66893,IPP Non-CHP,185,185,185,Solar Photovoltaic,1,2026,U,32.794928,-99.99293
65815,66897,IPP Non-CHP,97.5,97.5,97.5,Solar Photovoltaic,1,2026,U,32.116002,-97.34352
65829,66912,IPP Non-CHP,405,405,405,Solar Photovoltaic,1,2026,TS,32.139,-97.06
65835,66918,IPP Non-CHP,343,275.6,313.4,Natural Gas Fired Combined Cycle,1,2026,V,41.1476,-80.8525
65835,66918,IPP Non-CHP,343,275.6,313.4,Natural Gas Fired Combined Cycle,1,2026,V,41.1476,-80.8525
65835,66918,IPP Non-CHP,400,349.2,351.3,Natural Gas Fired Combined Cycle,1,2026,V,41.1476,-80.8525
65961,67046,IPP Non-CHP,210,210,210,Solar Photovoltaic,1,2026,TS,30.651189,-96.09134
16609,67118,Electric Utility,10,10,10,Batteries,1,2026,TS,32.854918,-116.9684
66087,67204,IPP Non-CHP,100,100,100,Batteries,1,2026,V,35.199081,-106.8566
15399,67224,IPP Non-CHP,147.5,147.5,147.5,Onshore Wind Turbine,1,2026,TS,34.635769,-96.86407
4065,67264,Electric Utility,1.4,1.4,1.4,Other Waste Biomass,1,2026,TS,39.911247,-83.01651
4065,67264,Electric Utility,1.4,1.4,1.4,Other Waste Biomass,1,2026,TS,39.911247,-83.01651
64904,67413,IPP Non-CHP,5,5,5,Solar Photovoltaic,1,2026,V,43.354,-73.571
9417,67538,Electric Utility,99,99,99,Batteries,1,2026,TS,40.734563,-91.27675
14354,67741,Electric Utility,2,2,2,Batteries,1,2026,V,42.259366,-121.7864
66363,67761,IPP Non-CHP,200,200,200,Batteries,1,2026,V,29.484448,-95.62164
66366,67765,IPP Non-CHP,150,150,150,Solar Photovoltaic,1,2026,TS,33.457356,-97.28961
14354,67769,Electric Utility,400,400,400,Onshore Wind Turbine,1,2026,TS,41.58263,-106.0773
60232,67823,IPP Non-CHP,235,235,235,Batteries,1,2026,V,32.086149,-109.9353
66413,67837,IPP Non-CHP,255.2,255.2,255.2,Solar Photovoltaic,1,2026,TS,28.628,-97.724
66431,67867,IPP Non-CHP,65,65,65,Batteries,1,2026,TS,30.009659,-95.04083
65076,67949,IPP Non-CHP,9.9,9.9,9.9,Batteries,1,2026,TS,29.038631,-98.60988
66540,67997,IPP Non-CHP,28.9,28.9,28.9,Solar Photovoltaic,1,2026,V,35.415022,-81.47812
66543,68001,IPP Non-CHP,80,80,80,Solar Photovoltaic,1,2026,V,32.317562,-86.41123
60059,68018,IPP Non-CHP,3,3,3,Batteries,1,2026,TS,36.989396,-120.8775
9187,68021,Electric Utility,2.5,2.5,2.5,Natural Gas Internal Combustion Engine,1,2026,U,43.3144,-111.5934
9187,68021,Electric Utility,2.5,2.5,2.5,Natural Gas Internal Combustion Engine,1,2026,U,43.3144,-111.5934
9187,68021,Electric Utility,2.5,2.5,2.5,Natural Gas Internal Combustion Engine,1,2026,U,43.3144,-111.5934
9187,68021,Electric Utility,2.5,2.5,2.5,Natural Gas Internal Combustion Engine,1,2026,U,43.3144,-111.5934
9187,68021,Electric Utility,2.5,2.5,2.5,Natural Gas Internal Combustion Engine,1,2026,U,43.3144,-111.5934
9187,68021,Electric Utility,2.5,2.5,2.5,Natural Gas Internal Combustion Engine,1,2026,U,43.3144,-111.5934
9187,68021,Electric Utility,2.5,2.5,2.5,Natural Gas Internal Combustion Engine,1,2026,U,43.3144,-111.5934
66561,68037,IPP Non-CHP,5,5,5,Solar Photovoltaic,1,2026,V,42.548056,-73.83611
66583,68094,IPP Non-CHP,4.5,4.5,4.5,Solar Photovoltaic,1,2026,V,32.56461,-92.92538
66586,68097,IPP Non-CHP,4.8,4.8,4.8,Solar Photovoltaic,1,2026,V,35.372893,-90.7708
66590,68101,IPP Non-CHP,4.8,4.8,4.8,Solar Photovoltaic,1,2026,V,35.500413,-90.96679
66598,68112,IPP Non-CHP,4.8,4.8,4.8,Solar Photovoltaic,1,2026,V,35.826426,-88.81739
65869,68130,IPP Non-CHP,1.6,1.6,1.6,Solar Photovoltaic,1,2026,U,42.015,-87.915
65869,68143,IPP Non-CHP,1.4,1.4,1.4,Solar Photovoltaic,1,2026,U,41.92302,-87.91646
6452,68276,Electric Utility,74.5,74.5,74.5,Solar Photovoltaic,1,2026,V,26.762014,-81.25302
22500,68286,Electric Utility,4.9,4.9,4.9,Solar Photovoltaic,1,2026,TS,36.207917,-90.05722
66782,68410,IPP Non-CHP,125,125,125,Solar Photovoltaic,1,2026,TS,29.138777,-95.37108
64904,68418,IPP Non-CHP,120,120,120,Solar Photovoltaic,1,2026,V,37.4371,-77.1587
66799,68436,IPP Non-CHP,2.9,2.9,2,Solar Photovoltaic,1,2026,TS,35.7832,-119.8652
66798,68465,Industrial Non-CHP,2,2,1.3,Solar Photovoltaic,1,2026,TS,35.4932,-119.1659
66217,68466,IPP Non-CHP,89,89,89,Batteries,1,2026,U,33.588334,-113.5283
66217,68466,IPP Non-CHP,89,89,89,Batteries,1,2026,U,33.588334,-113.5283
66217,68466,IPP Non-CHP,89,89,89,Batteries,1,2026,U,33.588334,-113.5283
66217,68466,IPP Non-CHP,166.7,166.7,166.7,Solar Photovoltaic,1,2026,U,33.588334,-113.5283
66217,68466,IPP Non-CHP,166.7,166.7,166.7,Solar Photovoltaic,1,2026,U,33.588334,-113.5283
66217,68466,IPP Non-CHP,166.7,166.7,166.7,Solar Photovoltaic,1,2026,U,33.588334,-113.5283
66829,68481,IPP Non-CHP,200,200,200,Solar Photovoltaic,1,2026,V,32.115203,-97.06783
20856,68501,Electric Utility,1.4,1.4,1.4,Solar Photovoltaic,1,2026,V,43.02369,-89.26745
67192,68509,IPP Non-CHP,50,50,50,Batteries,1,2026,V,32.79669,-116.97
60059,68518,IPP Non-CHP,2,2,2,Batteries,1,2026,TS,37.000929,-120.6648
58764,68536,IPP Non-CHP,50,50,50,Batteries,1,2026,TS,33.643544,-88.59398
58764,68536,IPP Non-CHP,200,200,200,Solar Photovoltaic,1,2026,V,33.643544,-88.59398
66917,68542,IPP Non-CHP,0.3,0.3,0.3,Batteries,1,2026,V,34.558047,-118.1187
66917,68542,IPP Non-CHP,1,1,1,Solar Photovoltaic,1,2026,V,34.558047,-118.1187
66924,68549,IPP Non-CHP,80,80,80,Solar Photovoltaic,1,2026,TS,31.995,-83.544
60520,68597,IPP Non-CHP,3,3,3,Solar Photovoltaic,1,2026,U,40.902,-77.685
60520,68598,IPP Non-CHP,2,2,2,Solar Photovoltaic,1,2026,U,40.902,-77.685
67082,68753,IPP Non-CHP,3,3,3,Solar Photovoltaic,1,2026,V,35.6,-119.5824
67054,68757,IPP Non-CHP,3.5,3.5,3.5,Solar Photovoltaic,1,2026,TS,39.9895,-90.3538
65869,68796,IPP Non-CHP,1.1,1.1,1.1,Solar Photovoltaic,1,2026,U,37.896708,-121.2602
6452,68817,Electric Utility,74.5,74.5,74.5,Solar Photovoltaic,1,2026,V,27.832062,-80.68207
6452,68820,Electric Utility,74.5,74.5,74.5,Solar Photovoltaic,1,2026,V,30.443398,-85.2618
